N_event,t_trig,tP3
169906,60503.698,416
170141,60581.086,608
170917,60859.777,82
170941,60870.224,55
171018,60897.807,1194
171160,60942.973,384
171697,61124.02,268
172752,61497.938,97
173012,61590.062,745
173368,61706.009,92
173540,61763.638,468
173557,61768.854,1077
173867,61885.584,110
173941,61914.751,1042
174008,61936.782,24
174228,62009.019,1084
174286,62034.234,501
174482,62107.815,800
174581,62141.909,3627
175151,62345.292,158
175189,62355.884,2460
175212,62366.443,51
175354,62417.257,652
175512,62468.519,211
175711,62544.515,892
175799,62579.058,1137
176037,62666.174,719
176357,62789.481,308
177104,63068.813,1110
177336,63141.834,325
177412,63168.712,792
177528,63217.575,130
177640,63253.797,957
177843,63320.851,177
178035,63391.418,2782
178212,63456.044,433
178375,63516.042,2131
179055,63746.273,402
179178,63793.519,1697
179253,63820.141,375
179419,63879.131,546
179469,63897.888,498
179837,64037.189,15
179897,64058.068,87
179914,64064.004,162
180758,64386.775,229
180890,64433.141,563
180966,64461.268,349
181332,64595.231,56
181333,64595.983,29
181469,64640.093,3394
181711,64729.61,192
181902,64793.559,1626
181912,64797.063,1216
181992,64822.134,2744
182204,64895.795,449
182685,65070.332,92
182906,65153.417,124
182907,65153.705,181
182920,65158.137,101
183055,65202.983,315
183152,65234.118,159
183386,65308.531,197
183514,65359.313,24
184077,65553.274,192
184125,65570.889,170
184525,65700.982,334
184657,65750.147,475
185062,65881.533,286
185238,65945.996,222
185521,66057.319,296
185557,66067.367,508
185599,66083.847,776
185661,66108.422,473
185717,66127.526,715
186078,66269.322,902
186331,66367.788,537
186431,66404.235,784
186924,66576.5,227
186979,66592.372,88
187042,66613.46,885
187090,66633.362,13
187437,66759.63,360
187519,66786.477,399
187637,66827.98,15
187875,66906.681,939
187882,66908.345,385
187904,66918.089,123
188135,66991.222,2015
188465,67113.554,148
188550,67143.6,456
188633,67169.519,101
188936,67275.02,79
189326,67419.671,174
189384,67440.998,459
189469,67470.501,558
189721,67553.331,227
189728,67554.45,55
189743,67558.866,36
189746,67560.322,342
190240,67722.94,697
190282,67734.652,781
190697,67882.551,1985
190931,67966.868,272
190963,67978.196,80
191063,68017.346,1558
191321,68100.896,2155
191852,68291.642,578
192236,68427.573,1229
192455,68505.666,357
192528,68528.049,202
192850,68653.053,619
192991,68705.74,368
193181,68769.322,1207
193627,68919.14,532
193933,69033.088,182
193970,69043.745,539
194015,69058.0,893
194325,69166.301,326
194818,69338.824,19
194984,69400.502,2021
195888,69709.515,627
196318,69859.75,404
196550,69941.46,68
196807,70040.817,3266
197379,70242.123,873
197414,70253.114,71
197426,70255.77,1118
197634,70318.935,558
197666,70329.607,774
197690,70341.304,1209
197928,70440.084,336
198057,70481.683,427
198077,70489.459,133
198150,70514.466,252
198190,70529.042,548
198897,70770.602,97
199295,70904.262,802
199824,71089.824,126
199901,71118.559,759
200209,71232.908,847
200367,71293.082,48
200671,71397.926,355
200848,71467.7,311
